,City,Country,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
602,oksfjord,NO,70.24,22.35,55.4,100.0,75.0,5.82
603,cocorit,MX,27.57,-109.96,87.8,62.0,75.0,6.93
604,umea,SE,63.83,20.26,55.4,82.0,75.0,9.17
608,kosh-agach,RU,49.99,88.66,33.61,86.0,24.0,2.68
610,maragogi,BR,-9.01,-35.22,73.12,98.0,92.0,11.74
613,leh,IN,34.16,77.58,24.25,83.0,8.0,0.89
614,pochutla,MX,15.74,-96.47,87.8,66.0,75.0,5.7
616,albanel,CA,48.88,-72.44,57.2,67.0,75.0,10.29
618,luanda,AO,-8.83,13.24,71.6,78.0,12.0,9.17
621,langxiang,CN,46.95,128.87,60.88,98.0,92.0,2.13
622,krasyliv,UA,49.66,26.97,64.3,76.0,12.0,5.59
623,paamiut,GL,61.99,-49.67,41.62,99.0,56.0,33.67
625,nakamura,JP,35.17,136.87,84.2,70.0,75.0,19.46
626,shingu,JP,33.72,135.99,80.23,98.0,56.0,15.88
628,jabinyanah,TN,35.03,10.91,82.4,51.0,20.0,10.29
629,alexandria,US,31.31,-92.44,89.06,63.0,75.0,3.36
631,kieta,PG,-6.22,155.63,76.9,98.0,12.0,2.8
632,neiafu,TO,-18.65,-173.98,75.2,73.0,40.0,12.75
633,fortuna,ES,38.18,-1.13,86.0,55.0,20.0,13.87
634,coquimbo,CL,-29.95,-71.34,53.6,76.0,90.0,9.17
635,wenchi,GH,7.74,-2.1,78.79,79.0,68.0,9.4
637,haines junction,CA,60.75,-137.51,45.49,66.0,36.0,3.13
638,matamoros,US,25.87,-97.51,93.92,54.0,40.0,8.05
640,gelgaudiskis,LT,55.08,22.98,62.5,80.0,48.0,4.14
641,estreito,BR,-22.44,-42.8,84.2,58.0,20.0,6.93
642,pauini,BR,-7.71,-67.0,88.06,57.0,32.0,3.69
643,kijang,KR,35.24,129.21,80.6,88.0,75.0,11.41
644,warrnambool,AU,-38.38,142.48,54.94,81.0,92.0,21.03
646,perth,GB,56.4,-3.43,60.8,63.0,20.0,4.59
647,kalmunai,LK,7.42,81.82,74.29,99.0,20.0,3.24
650,sainte-marie,CA,46.45,-71.03,66.2,59.0,75.0,2.24
655,ibra,OM,22.69,58.55,76.27,64.0,76.0,2.57
656,yining,CN,29.04,114.56,72.22,99.0,64.0,2.46
657,suda,RU,59.15,37.56,59.53,95.0,48.0,6.15
659,vostok,RU,46.45,135.83,58.9,99.0,92.0,2.24
660,santa cruz del norte,CU,23.15,-81.92,84.2,79.0,75.0,5.82
661,vanimo,PG,-2.67,141.3,76.72,100.0,64.0,1.12
663,powell,US,40.16,-83.08,78.98,69.0,90.0,4.47
666,port-cartier,CA,50.03,-66.88,66.2,48.0,75.0,10.29
668,gat,SN,14.69,-16.54,89.6,70.0,75.0,4.7
671,det udom,TH,14.9,105.08,78.8,94.0,40.0,4.7
672,imeni babushkina,RU,59.76,43.13,63.13,80.0,32.0,10.96
674,port pirie,AU,-33.18,138.01,51.8,87.0,40.0,13.87
675,domodossola,IT,46.12,8.29,84.2,61.0,20.0,3.36
676,urengoy,RU,65.96,78.37,42.25,69.0,12.0,15.77
677,tibati,CM,6.47,12.63,67.9,97.0,56.0,4.25
678,zhigansk,RU,66.77,123.37,59.17,67.0,100.0,14.88
679,karatuzskoye,RU,53.61,92.87,54.31,87.0,44.0,3.02
680,valley,GB,53.28,-4.56,60.8,63.0,75.0,1.12
681,colborne,CA,44.01,-77.89,66.2,68.0,90.0,10.29
682,kailua,US,21.39,-157.74,78.98,71.0,20.0,11.41
684,avera,US,33.19,-82.53,91.94,48.0,40.0,4.7
686,buena vista,US,38.84,-106.13,79.7,4.0,1.0,4.7
688,skelleftea,SE,64.75,20.95,53.6,93.0,75.0,5.82
689,cornwall,CA,45.02,-74.73,66.02,69.0,90.0,4.7
691,elat,CM,2.91,11.16,73.3,82.0,64.0,3.36
692,nantucket,US,41.28,-70.1,91.94,79.0,1.0,11.41
694,troitskoye,RU,52.98,84.68,55.48,98.0,44.0,0.56
695,chernyshevskiy,RU,63.01,112.47,53.86,89.0,24.0,5.48
696,daye,CN,30.1,114.98,79.51,82.0,64.0,6.82
698,luganville,VU,-15.51,167.18,77.08,100.0,88.0,13.2
699,sarh,TD,9.14,18.39,82.4,78.0,20.0,1.9
700,bell ville,AR,-32.63,-62.69,58.0,79.0,92.0,18.79
701,key west,US,47.93,-96.78,75.2,53.0,1.0,24.16
702,altoona,US,40.52,-78.39,82.04,78.0,90.0,4.7
703,bastia,IT,44.6,8.98,84.2,78.0,75.0,11.41
704,salto,UY,-31.39,-57.96,66.2,100.0,90.0,9.17
705,ust-maya,RU,60.42,134.54,53.14,100.0,20.0,4.36
707,marsa matruh,EG,31.35,27.25,80.6,74.0,40.0,9.17
709,neuquen,AR,-38.95,-68.06,51.8,29.0,20.0,10.29
710,marolambo,MG,-20.05,48.13,58.99,98.0,92.0,3.02
712,san pedro,AR,-33.68,-59.66,60.25,70.0,80.0,22.26
713,ushtobe,KZ,45.25,77.98,51.61,85.0,88.0,5.26
717,vinh,VN,18.67,105.69,80.14,76.0,24.0,6.93
718,mossendjo,CG,-2.95,12.72,75.91,79.0,8.0,2.91
720,college,US,64.86,-147.8,45.14,97.0,90.0,5.82
721,dafeng,CN,33.2,120.46,81.22,80.0,12.0,7.38
722,darien,US,41.75,-87.98,72.5,60.0,75.0,3.36
723,maceio,BR,-9.67,-35.74,73.4,83.0,75.0,11.41
725,mul,IN,20.07,79.68,78.61,85.0,76.0,9.84
726,millinocket,US,45.66,-68.71,60.98,80.0,12.0,14.99
727,namatanai,PG,-3.66,152.44,77.35,100.0,80.0,3.69
728,villaviciosa,ES,43.48,-5.43,69.8,83.0,40.0,3.36
730,inongo,CD,-1.93,18.29,76.63,86.0,36.0,1.68
731,santa maria,BR,-29.69,-53.81,64.4,93.0,75.0,9.17
733,kupang,ID,-10.16,123.6,73.4,83.0,44.0,3.36
735,ulaanbaatar,MN,47.92,106.92,57.2,87.0,20.0,4.47
736,mount gambier,AU,-37.83,140.78,51.97,95.0,92.0,9.62
737,pacific grove,US,36.62,-121.92,69.08,63.0,90.0,3.36
738,macapa,BR,0.05,-51.07,95.0,41.0,40.0,5.82
739,ngaoundere,CM,7.32,13.58,69.8,94.0,40.0,4.7
741,thinadhoo,MV,0.53,72.93,80.68,100.0,76.0,2.91
743,banamba,ML,13.55,-7.45,84.1,74.0,8.0,7.05
745,lufilufi,WS,-13.87,-171.6,78.88,100.0,76.0,18.01
746,sawakin,SD,19.1,37.33,95.0,50.0,24.0,11.41
747,diapaga,BF,12.07,1.79,73.03,97.0,44.0,11.41
748,noumea,NC,-22.28,166.46,60.8,82.0,20.0,8.05
749,harper,US,30.3,-99.24,91.22,39.0,40.0,6.93
751,okhotsk,RU,59.36,143.24,55.3,100.0,80.0,7.05
752,yeppoon,AU,-23.13,150.74,55.4,87.0,75.0,6.26
753,jimenez,PA,8.54,-82.37,82.4,78.0,40.0,3.36
755,pointe-noire,CG,-4.8,11.85,73.4,83.0,75.0,8.05
757,qaqortoq,GL,60.72,-46.03,44.6,56.0,75.0,28.86
759,santiago del estero,AR,-27.8,-64.26,82.93,33.0,12.0,16.78
760,duzce,TR,40.84,31.16,69.34,84.0,36.0,2.13
762,gunjur,GM,13.18,-16.76,75.2,94.0,75.0,2.24
763,pine bluff,US,34.23,-92.0,86.0,59.0,1.0,3.69
764,mfou,CM,3.72,11.64,75.2,78.0,40.0,5.14
